id,title,year,genre,country,children,adolescents,adults,older-adults,asians,indians,blacks,whites,middle-easterns,latino-hispanics,men,women
tt0120338,Titanic,1997,"Drama, Romance","United States, Mexico",0,0,2,0,0,0,0,1,0,1,1,1
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",United States,0,0,4,0,0,0,1,3,0,0,3,1
tt0167260,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama","New Zealand, United States",0,0,6,0,0,0,2,4,0,0,6,0
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","United Kingdom, United States",0,0,6,0,1,1,0,4,0,0,5,1
tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",United States,0,0,1,0,0,0,0,1,0,0,1,0
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",United States,0,0,6,0,0,1,0,5,0,0,5,1
tt0435761,Toy Story 3,2010,"Animation, Adventure, Comedy","United States, Japan",0,0,3,0,1,0,0,2,0,0,1,2
tt0499549,Avatar,2009,"Action, Adventure, Fantasy",United States,0,0,2,0,0,0,0,2,0,0,2,0
tt0848228,The Avengers,2012,"Action, Sci-Fi",United States,0,0,6,0,0,0,0,3,3,0,6,0
tt0903624,The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy","New Zealand, United States",0,0,1,0,0,0,0,1,0,0,1,0
tt1014759,Alice in Wonderland,2010,"Adventure, Family, Fantasy",United States,0,0,1,0,0,0,0,1,0,0,1,0
tt1074638,Skyfall,2012,"Action, Adventure, Thriller","United Kingdom, United States, Turkey",0,0,1,0,0,0,0,1,0,0,1,0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy","United Kingdom, United States",0,0,3,0,0,0,0,3,0,0,3,0
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy","United States, United Kingdom",0,0,4,0,0,0,1,1,2,0,3,1
tt1300854,Iron Man 3,2013,"Action, Adventure, Sci-Fi",United States,0,0,1,0,0,1,0,0,0,0,1,0
tt1399103,Transformers: Dark of the Moon,2011,"Action, Adventure, Sci-Fi",United States,0,0,2,0,0,0,0,2,0,0,1,1
tt1477834,Aquaman,2018,"Action, Adventure, Fantasy","United States, Australia",0,0,2,0,0,0,0,2,0,0,1,1
tt1690953,Despicable Me 2,2013,"Animation, Adventure, Comedy","United States, France, Japan",0,0,1,0,0,0,0,0,1,0,1,0
tt1825683,Black Panther,2018,"Action, Adventure, Sci-Fi",United States,0,0,10,0,1,0,5,4,0,0,10,0
tt1979376,Toy Story 4,2019,"Animation, Adventure, Comedy",United States,0,0,6,0,1,0,0,3,2,0,6,0
tt2109248,Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi","United States, China, Hong Kong",0,0,3,0,0,0,1,2,0,0,3,0
tt2294629,Frozen,2013,"Animation, Adventure, Comedy",United States,0,0,2,0,1,0,0,1,0,0,2,0
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",United States,0,0,6,0,0,2,0,2,1,1,6,0
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",United States,0,0,4,0,0,0,1,2,1,0,4,0
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",United States,0,0,6,0,0,0,1,5,0,0,6,0
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,"Action, Adventure, Fantasy",United States,0,0,4,0,0,0,1,2,1,0,4,0
tt2771200,Beauty and the Beast,2017,"Adventure, Family, Fantasy",United States,0,0,10,0,1,0,1,6,2,0,8,2
tt3469046,Despicable Me 3,2017,"Animation, Adventure, Comedy","United States, France",0,0,1,0,1,0,0,0,0,0,1,0
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",United States,0,0,8,0,0,0,2,4,2,0,7,1
tt3606756,Incredibles 2,2018,"Animation, Action, Adventure","United States, Japan",0,0,4,0,0,0,0,3,1,0,4,0
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",United States,0,0,6,0,0,0,1,5,0,0,5,1
tt4154664,Captain Marvel,2019,"Action, Adventure, Sci-Fi","United States, Australia",0,0,1,0,0,0,0,1,0,0,0,1
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",United States,0,0,17,0,0,0,6,9,0,2,16,1
tt4154796,Avengers: Endgame,2019,"Action, Adventure, Drama",United States,0,0,9,0,0,0,0,7,0,2,9,0
tt4520988,Frozen II,2019,"Animation, Adventure, Comedy","Japan, United States",0,0,3,0,2,0,0,1,0,0,2,1
tt4630562,The Fate of the Furious,2017,"Action, Crime, Thriller","China, Japan, United States",0,0,6,0,1,0,0,4,1,0,6,0
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi","United States, China",0,0,2,0,1,0,0,1,0,0,1,1
tt6139732,Aladdin,2019,"Adventure, Comedy, Family","United States, United Kingdom",0,0,4,0,0,0,1,0,2,1,4,0
